dataIndex,password,email
1,123456ab,validEmailExample01@bwdsb.on.ca
2,ab123456,validEmailExample02@bwdsb.on.ca
3,$123abcd,validEmailExample03@bwdsb.on.ca
4,123456789,validEmailExample04@bwdsb.on.ca
5,abc123456,validEmailExample05@bwdsb.on.ca
6,!123abcde,validEmailExample06@bwdsb.on.ca
7,12345abcde12345abcde12345abcde9,validEmailExample07@bwdsb.on.ca
8,!@#$%&1234!@#$%&1234!@#$%&1234y,validEmailExample08@bwdsb.on.ca
9,abcde12345abcde12345abcde12345!@,validEmailExample09@bwdsb.on.ca
10,abcdeabcdeabcdeabcde,validEmailExample10@bwdsb.on.ca
